Site ID,Site name,Sample date/time,E. coli value (orgs/100 mL),E. coli qualifier
4940,Kew,04/01/2023 11:20,41,=
291600,Launching Place,11/01/2023 08:55,170,=
290400,Healesville,11/01/2023 09:20,74,=
4991,Warrandyte,11/01/2023 10:05,30,=
4940,Kew,11/01/2023 11:15,52,=
291600,Launching Place,18/01/2023,1100,=
290400,Healesville,18/01/2023,440,=
4991,Warrandyte,18/01/2023,84,=
4940,Kew,18/01/2023,20000,=
291600,Launching Place,25/01/2023,400,=
290400,Healesville,25/01/2023,410,=
4991,Warrandyte,25/01/2023,340,=
4940,Kew,25/01/2023,4900,=
291600,Launching Place,2/1/2023 8:55,200,=
290400,Healesville,2/1/2023 9:25,130,=
4991,Warrandyte,2/1/2023 10:20,20,=
4940,Kew,2/1/2023 10:55,41,=
291600,Launching Place,2/8/2023 9:00,230,=
290400,Healesville,2/8/2023 9:30,160,=
4991,Warrandyte,2/8/2023 10:20,41,=
4940,Kew,2/8/2023 11:10,63,=
291600,Launching Place,2/15/2023 9:10,98,=
290400,Healesville,2/15/2023 9:45,74,=
4991,Warrandyte,2/15/2023 10:35,20,=
4940,Kew,2/15/2023 11:30,63,=
291600,Launching Place,2/22/2023 9:05,240,=
290400,Healesville,2/22/2023 9:30,110,=
4991,Warrandyte,2/22/2023 10:25,63,=
4940,Kew,2/22/2023 11:15,74,=
291600,Launching Place,3/1/2023 9:10,780,=
290400,Healesville,3/1/2023 9:40,400,=
4991,Warrandyte,3/1/2023 10:24,160,=
4940,Kew,3/1/2023 11:35,2900,=
291600,Launching Place,3/8/2023 8:34,570,=
